Designator, Footprint,Mid X,Mid Y,Ref X, Ref Y, Pad X,Pad Y,TB,Rotation
"NEO","H3-2.54","2130mil","1019.6mil","2130mil","1019.6mil","2030mil","1019.6mil","T","90"
"MILLIER","H4-2.54","2610mil","549.6mil","2610mil","549.6mil","2716.1mil","655.7mil","T","0"
"PETITMINOU","H4-2.54","3030mil","1579.6mil","3030mil","1579.6mil","3030mil","1729.6mil","T","0"
"KEREON","H4-2.54","2599.95mil","2609.6mil","2600mil","2609.6mil","2493.9mil","2715.7mil","T","45"
"ARMEN","H4-2.54","540mil","549.55mil","540mil","549.6mil","646.1mil","443.5mil","T","225"
"VIELLE","H4-2.54","1580mil","119.6mil","1580mil","119.6mil","1730mil","119.6mil","T","270"
"NIVIDI","H4-2.54","550.05mil","2609.65mil","550mil","2609.6mil","444mil","2503.6mil","T","135"
"PIRNOIR","H4-2.54","120mil","1579.6mil","120mil","1579.6mil","120mil","1429.6mil","T","180"
"STIFF","H4-2.54","1580mil","3039.6mil","1580mil","3039.6mil","1430mil","3039.6mil","T","90"
"U3","QFN24G-0.4-3X3MM","1140mil","1309.6mil","1140mil","1309.6mil","1157mil","1237.5mil","T","135"
"U5","PSOC1-ISSP","2071.45mil","391.05mil","1930mil","249.6mil","1930mil","249.6mil","T","45"
"U2","XBEE-1","1653mil","2339.6mil","1220mil","2339.6mil","2007mil","2772.6mil","T","270"
"C12","0402","960mil","1349.9mil","960mil","1349.6mil","960mil","1333.2mil","T","90"
"C13","0402","1240.3mil","1389.6mil","1240mil","1389.6mil","1223.6mil","1389.6mil","T","0"
"C14","0402-CAP","1110mil","1419.6mil","1110mil","1419.6mil","1084mil","1419.6mil","T","0"
"U4","SOT-223","2786mil","1019.1mil","2780mil","1019.6mil","2664mil","1109.6mil","T","270"
"C15","0402-CAP","2540mil","929.6mil","2540mil","929.6mil","2514mil","929.6mil","T","0"
"C16","C0402","2545.6mil","1109.6mil","2520mil","1109.6mil","2520mil","1109.6mil","T","0"
"C1","0402","1140mil","789.3mil","1140mil","789.6mil","1140mil","806mil","T","270"
"C2","0402","2000mil","789.3mil","2000mil","789.6mil","2000mil","806mil","T","270"
"C3","0402","1570.3mil","349.6mil","1570mil","349.6mil","1553.6mil","349.6mil","T","0"
"C4","0402","1569.7mil","1219.6mil","1570mil","1219.6mil","1586.4mil","1219.6mil","T","180"
"C5","0402","1840mil","1079.3mil","1840mil","1079.6mil","1840mil","1096mil","T","270"
"C6","0402","1280.3mil","489.6mil","1280mil","489.6mil","1263.6mil","489.6mil","T","0"
"C7","0402","1240mil","999.9mil","1240mil","999.6mil","1240mil","983.2mil","T","90"
"C8","0402-CAP","1280mil","549.6mil","1280mil","549.6mil","1306mil","549.6mil","T","180"
"C9","0402-CAP","1300mil","1079.6mil","1300mil","1079.6mil","1274mil","1079.6mil","T","0"
"C10","0402-CAP","2230mil","789.6mil","2230mil","789.6mil","2230mil","763.6mil","T","90"
"C11","0402-CAP","2130mil","789.6mil","2130mil","789.6mil","2130mil","763.6mil","T","90"
"J9","H2X8-2.54","500mil","1459.5mil","500mil","1459.5mil","450mil","1809.5mil","T","0"
"U1","CYP-AX100","1571.2mil","791mil","1574.8mil","787.5mil","1614.4mil","414.1mil","T","135"
"USB1","USB-B-1","2303mil","1506.1mil","2540mil","1479.6mil","2540mil","1479.6mil","T","180"
